Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0,15.963,27.025,24.488,0.8875,0.175,0.0375,0.0125,2.325,0,2.4125,9.1875,2.8125,0.35,0.025,0,0.025,0.825,3.15,0.2375,0,0.0875,0.0625,12.887,123.59,50.962,0.2875,10.162,0.5875,0.075,0.2125,47.95,0.1,0.175,264.59,1.3125,6.6375,0.05,36.1,0.3375,581.94,2.375,0,491.89,502.68,54.425,4.6125,27.725,0.3375,0.975,0,3.6,0.1125,4.0125,100.51,0.025,0,0.0375,1.7375,0.4,0.2875,0.1125,0.1625,0,0.2,0.6875,0.05,1.475,21.863,0.15,1.325,0,1.8625,1.7875,37.913,1.7125,0.2,30.688,157.75,1.4125,0.6375,1.4375,0.1375,0,0.075,0.375
0.125,16.9,0.075,21.525,3.2125,8.2125,0.15,0.05,10.637,0.0125,0.5125,0,0.8875,0.0875,0.4125,0,0.025,0.3625,0.8375,0.0375,0.0875,0,0.6125,5.9125,1.4,3.075,32.087,73.912,0.3875,86.775,0.8375,4.0625,4.9625,0.025,0.0375,0.05,0.0375,497.43,0.025,0.1375,0.1625,136.51,0.05,0.375,0.625,236.71,15.7,0.3375,0.1125,0.65,0.775,2.7875,0.0125,0,0.0125,9.925,0,1.4125,1.9625,0.675,4.9,6.5625,0,2.0125,0.05,0.7125,0.0625,0.0625,0,0.0125,0,5.9875,0.2375,0.075,0.125,5.7375,0.0375,0,0.0125,7.2125,0.15,0.125,0.0125,0.0125,0.025,0.1125
0.425,0.375,0.0125,0.725,0.05,129.85,36.05,0,0.2625,0.1,0.025,0,0.0375,0,0,0.0125,0,0.025,0,0.15,0.0625,0.6125,0,50.05,0.675,1.525,2.8,1.725,0,2.3125,0.1625,0.1625,85.125,0.0125,0,0,0,0.475,0.0875,0.0875,0.0125,2.1875,0.1625,0.175,0.925,1.125,1.2875,0.1,0.025,44,0.0375,20.825,0,0,0.0125,0,0,0.0375,0.0875,0,0.1125,0.0125,0,0.0125,0.0125,0.0125,0,0.0125,0,0,0,0.0375,0,0,0.025,0.125,0,0,0,0.0625,0.025,0.025,0,0,0,0
10.925,10.05,0.425,33.062,3.25,175.47,22.325,0.05,10.762,0.025,0.575,0.0375,1,0.275,0.5375,0,0.0125,0.4375,0.5125,0.125,12.887,5.9125,50.05,0,131.32,542.89,17.375,561.44,1.6125,407.39,3.35,24.762,154.06,0.1125,1.0625,0.3125,1.2625,23.137,3.65,0.1875,2.475,22.938,0.1375,11.963,4.625,93.812,15.012,2.95,0.2375,47.85,0.425,13.875,0.0875,0.0125,0.1625,1.6,0.0125,1.45,3.625,2.0625,2.825,3.8,0.025,1.1375,0.0375,1.775,0.125,0.425,0.025,0.025,0.0125,1.6,1.5875,0.1125,0.3375,7.2375,0.025,0.25,0.65,6.925,1.2875,2.1375,0.025,0.0125,0.15,0.35
0.2,57.938,2.2,191.81,10.25,11.65,0.0875,0.0125,24.387,0.0125,2.85,0.2625,6.75,0.35,0.9625,0.0375,0,2.25,218.62,0.4875,123.59,1.4,0.675,131.32,0,242.95,23.525,355.6,1.775,2.9375,1.4125,442.85,3.7375,0.6,15.887,1.775,4.025,3.125,32.9,1.175,56.337,39.638,0.1625,57.175,44.587,803.89,141.21,454.98,0.7,4.7,6.9875,32.5,0.5375,0.0875,1.2,2.45,0.0375,3.275,22.087,6.8,7.3125,6.0875,0.05,1.3375,0.0625,6.5375,0.3875,0.6625,0.3625,0.0125,0.0875,3.375,2.1625,0.4125,2.4875,17.675,0,0.6875,3.7125,25.75,3.9875,9.3,0.05,0.0625,0.1,1.325
0.9625,15.037,1.7,42.337,6.325,60,6.8,0.2125,17.3,0.025,3.175,0.1625,5.825,0.7125,0.75,0.0125,0.1125,2.6,11.125,0.25,50.962,3.075,1.525,542.89,242.95,0,28.762,229.26,4.8,31.363,3.475,618.56,5.2125,0.0875,16.325,4.6,11.4,13.25,9.4375,1.025,14.537,55.513,0.175,62.013,6.275,56.888,21.775,34.125,0.45,57.462,0.3625,20.012,0.6875,0.0625,0.325,0.5,0,1.3,14.475,5.925,5.7625,1.9625,0.0625,0.3125,0.075,4.725,0.1625,0.525,0.125,0.0375,0.025,0.7625,1.9,0.2125,0.45,10.512,0,0.2625,0.875,16.875,3.75,5.5375,0.0125,0.025,0.1,1.2
0.0125,20.413,3.45,15.363,2.8375,38.95,0.15,1.3125,6.2625,0.0125,1.825,1.025,2.6125,0.275,1.5875,0,0.175,1.15,3.725,20.1,0.2875,32.087,2.8,17.375,23.525,28.762,0,36.688,0.875,63.55,4.175,17.875,61.638,1.5625,0.15,0.0875,0.3625,20.975,1.425,121.24,0.475,426.74,12,2.225,38.737,47.825,22.663,15.8,1.3875,0.6375,3.0875,2.125,0.2375,0.125,0.4375,4.05,0.0375,1.8625,5.9625,2.0375,33.263,5.3875,0.1375,1.9375,0.325,1.7875,0.175,0.875,0.025,0.0375,0.1125,4,3.9625,3.1375,1.125,14.725,0.075,0.25,0.4875,16.325,3.375,4.875,0.1875,0.05,0.2875,0.7125
1.1875,52.875,0.6625,170.93,8.7625,19.238,0.425,0.075,39.812,0.05,1.0375,0.1875,3.0375,0.3125,1.0125,0.0125,0.05,1.1,2.125,0.0375,10.162,73.912,1.725,561.44,355.6,229.26,36.688,0,2.8375,207.19,2.7875,108.11,8.35,0.0875,0.825,1.2875,0.525,272.5,1.5875,0.0875,2.275,35.663,0.1375,11.625,6.15,261.69,105.61,1.35,0.55,6.1875,1.15,39.5,0.025,0.0375,0.2625,8.125,0.025,5.0375,7.375,2.9625,9.4625,16.238,0.0375,2.925,0.025,1.6375,0.275,0.1625,0.025,0.0125,0.0125,11.225,0.6375,0.175,0.25,13.287,0.0125,0.175,0.525,17.375,0.9375,0.925,0,0.075,0.0375,0.7875
0.0125,21.075,73.05,136.96,0.55,0.1875,0.075,17.337,0.425,0,0.1625,3.7375,0.5,0,0,0,1.2125,0.075,1.8375,2.7,0.5875,0.3875,0,1.6125,1.775,4.8,0.875,2.8375,0,4.225,123.35,16.587,0.1875,1.0125,30.738,188.35,119.36,1.225,3.875,2.175,8.1,2.7375,7.2625,91.375,20.275,1.8125,15.488,6.875,13.262,1.2,1.1125,229.54,0,0.85,0.175,0,0.0125,0,0.05,0.075,0.2625,0,1.0625,0,16.15,0.0625,0.0375,0.8,0.025,1.1,0.0875,0,0.7875,0.4,1.2125,0.5125,2.1375,3.1,5.7125,0.2125,0.075,0.2875,1.9375,0,0,0.15
6.8375,13.412,0.4125,101.83,3.9625,62.112,2.275,0.2875,21.812,0,0.2875,0.0125,0.4875,0.1,0.5125,0,0.025,0.125,0.3,0.1625,0.075,86.775,2.3125,407.39,2.9375,31.363,63.55,207.19,4.225,0,7.4,35.35,104.76,0.0125,0.0125,0.975,0.1875,397.94,0.0125,0.15,0.1,56.925,0.425,4.025,2.975,44.212,42.075,0.15,0.9375,15.637,0.325,26.325,0.0125,0,0,1.5375,0,0.65,0.85,0.2125,2.65,1.8625,0.025,4.125,0.025,0.2,0.025,0.0125,0,0.025,0,1.7625,0.05,0,0.05,2.1125,0.0375,0.15,0.05,2.2875,0.025,0.0375,0.05,0,0.0125,0.075
